Компьютерная техника;"Ноутбуки 12"" и ниже";Acer ;Ferrari 1005WTMi  (083);"AMD Turion™ 64 X2 TL60 2,0GHz; RAM 1024MB DDRII; HDD 160GB SATA; 12.1"" WXGA Acer CrystalBrite;  ATI Radeon® Xpress 1150 256MB VRAM; внешний IEEE1394 DVD RW SuperMulti, FM 56K; LAN10/100/1000; WLAN 802.11a/b/g; Bluetooth® 2.0+EDR, Irda, 1xPC Card; 3xUSB 2";9651,2;1885;;12;http://www.dmarket.com.ua/acer-ferrari-1005wtmi-p-842.html
Компьютерная техника;"Ноутбуки 12"" и ниже";ASUS;W5F-T560S1AHAW;"12,1""WXGA/T5600 (1,83Ghz)/1GB/120Gb/DVD Super Multi DL/WiFi/TV out/BT//WinXPH rus/bag/1.6kg";9267,2;1810;;24;http://www.dmarket.com.ua/asus-w5ft560s1ahaw-p-802.html
Компьютерная техника;"Ноутбуки 12"" и ниже";ASUS;U5V00F [U5F-T135S58HAW];"Intel Core Solo T1350 (1.86G),Intel 945GM,512MB DDR2,80G5,DVD-SM,Intel GMA950,12.1""XGA+,VGA,GLAN,FM,1394,802.11b/g,BT,3xUSB 2.0,Exp Card,CR,SPDIF,Win XPH Rus,bag,1.58kg)";7321,6;1430;;24;http://www.dmarket.com.ua/asus-u5v00f-u5ft135s58haw-p-528.html
Компьютерная техника;"Ноутбуки 12"" и ниже";ASUS;S6F S6Fp-L240S1APAW ;"Intel Core Duo L2400 (1.66G),Intel 945GM,1024MB DDR2,120G5,DVD-SM,Intel GMA 950,11.1""WXGA,VGA,GLAN,FM,3xUSB 2.0,1394,802.11b/g,BT,Exp. Card,SPDIF,CR,bag,1.53kg,Win XP Pro Rus,Pink";12953,6;2530;;24;http://www.dmarket.com.ua/asus-s6k00f-s6fpl240s1apaw-p-1007.html
Компьютерная техника;"Ноутбуки 12"" и ниже";ASUS; R2HC900E76TAW + DVD+/-RW ;"Cel M ULV 900MHz,Intel 910GML,768MB DDR2,60GB,7""TFT (800x480),VGA,AV-out,LAN,FM,WiFi b/g,BT,GPS,2xUSB,miniUSB 2.0,WC 1.3Mp,CR,Fingerprint,bag,870g,Win Tablet PC Edition";6144;1200;;24;http://www.dmarket.com.ua/asus-r2hc900e76taw-p-414.html
Компьютерная техника;"Ноутбуки 12"" и ниже";DELL;XPS 1210 [210-15962];"12.1"" WXGA TL, 1.83GHz(2MB cache 667MHz FSB), 1GB, 120Gb, DVD+RW,  nVidia GF7400 256MB, LAN, MDM, WLAN a/b/g, 4x USB 2.0, IEEE1394, VGA, S-Video, MediaDirect, Audio jaks, 1.3 MP Camera, 5 in 1 Card Reader, PC Express card, WinXP HE Rus,2.42kg, 3г.";9722,88;1899;;36;http://www.dmarket.com.ua/dell-m1210-21015962-p-811.html
Компьютерная техника;"Ноутбуки 12"" и ниже";DELL;XPS 1210 [M12XT7442VW9P];"Dell XPS M1210 12"" WXGA TL T7400-2.16 1GB (512x2) 120 DVD±RW Dual GeForce7400 256 WiFi BT 9Cell XP Pro ru 1.98kg";10752;2100;;36;http://www.dmarket.com.ua/dell-1210-m12xt7442vw9p-p-1101.html
Компьютерная техника;"Ноутбуки 12"" и ниже";DELL;Latitude D420 [L42U25EX58WP];"12.1"" WXGA TL U2500-1.20 512x1 80 DVD±RW Dual ext UMA 256MB WiFi BT IrDa SD-Rd Mobile 6Cell XP Pro ru 1.36kg";8857,6;1730;;36;http://www.dmarket.com.ua/dell-latitude-d420-l42u25ex58wp-p-967.html
Компьютерная техника;"Ноутбуки 12"" и ниже";DELL;Latitude D420 [210-15973];"12.1"" WXGA, 1.20GHz(2MB cache 667MHz FSB), 512MB, 80Gb, DVD+RW, GMA950, 1Gb LAN, MDM, WLAN, PAN, 3x USB 2.0, Ir/DA, IEEE1394, VGA, Audio jaks, SD slot, PC I/II card, Smart Card reader, D/Doc,WinXP PE Rus,1.36kg, 3 year";9702,4;1895;;36;http://www.dmarket.com.ua/dell-latitude-d420-21015973-p-968.html
Компьютерная техника;"Ноутбуки 12"" и ниже";HP;nc4400 [RL885AW]; PC Core2 Duo T7200, 12.1 XGA Display, 1024MB RAM, 80GB HDD, 56K Modem, 802.11a/b/g, Bluetooth, 6-cell LiIon Batt, Windows XP Pro, 3 year warranty;8601,6;1680;;36;http://www.dmarket.com.ua/compaq-nc4400-rl885aw-p-1102.html
